feature,importance
gap,0.20283010959993744
last20_count,0.17180506999745937
last10_count,0.11383087693265888
last5_count,0.07185726945907342
temp,0.049584105973091853
pressure,0.04915006521144822
pressure_diff,0.04856968592801571
temp_diff,0.0479640663717672
moon_age,0.04659434700918921
humidity_diff,0.04598554112188254
humidity,0.04452433878630219
moon_sin,0.04312254996630272
moon_cos,0.041975126971582975
prev_hit,0.022206846671288406
