num1,num2,lift,joint_prob,both_count,expected_prob
1,2,1.4273338048090523,0.04186795491143317,26,0.029332980673735416
15,25,1.3975040916530277,0.05314009661835749,33,0.03802500252825815
8,24,1.3895726113224436,0.04830917874396135,30,0.03476549433281212
1,16,1.3729591836734694,0.04186795491143317,26,0.03049468287863583
20,29,1.3430138255966633,0.04508856682769726,28,0.033572675104566164
6,31,1.3170731707317074,0.04830917874396135,30,0.03667919126856325
14,31,1.3042682926829268,0.0499194847020934,31,0.03827393871502252
32,36,1.3029110936270654,0.05152979066022544,32,0.03954973667218994
1,11,1.2967309907834101,0.04669887278582931,29,0.03601276835191279
11,18,1.29375,0.0499194847020934,31,0.03858510894847799
7,15,1.269022719076812,0.05475040257648953,34,0.043143752868600595
13,16,1.2611344537815126,0.04669887278582931,29,0.03702925778120065
5,32,1.252016129032258,0.04186795491143317,26,0.03344042775534759
2,36,1.249698140545762,0.040257648953301126,25,0.032213898418477285
16,34,1.2400921658986175,0.04186795491143317,26,0.03376197032991824
20,33,1.2396334270937301,0.03542673107890499,22,0.028578392857605904
12,17,1.2391087462587296,0.03864734299516908,24,0.03118962973335304
17,22,1.2314912744579587,0.04830917874396135,30,0.03922819409761929
24,30,1.2270995059985883,0.04508856682769726,28,0.036744018400533145
20,34,1.2169128730780825,0.04186795491143317,26,0.03440505547905954
10,18,1.215,0.043478260869565216,27,0.03578457684737878
7,24,1.207044005597885,0.040257648953301126,25,0.03335226285586854
9,37,1.2058252427184468,0.043478260869565216,27,0.03605685080165231
7,12,1.193604752752053,0.03542673107890499,22,0.029680454101094024
19,20,1.1918391188251,0.037037037037037035,23,0.031075533981086034
1,29,1.1914108618654073,0.04186795491143317,26,0.03514149169823748
6,27,1.1898305084745762,0.04186795491143317,26,0.0351881672332558
11,12,1.1874792151646159,0.037037037037037035,23,0.03118962973335304
8,32,1.1807631785995278,0.04669887278582931,29,0.03954973667218994
23,31,1.1751471825063078,0.043478260869565216,27,0.036998140757855104
